,Alpha,Alpha,Alpha,Beta,Beta,Beta,Delta,Delta,Delta,Gamma,Gamma,Gamma,Theta,Theta,Theta,,,
,CSP,RIE,SPoC,CSP,RIE,SPoC,CSP,RIE,SPoC,CSP,RIE,SPoC,CSP,RIE,SPoC,,,
3TM_01-100.set,1,0.85,1,1,0.988,1,1,0.793,0.797,1,1,1,1,0.757,1,,,
4EB_01-100.set,0.704,0.566,0.658,0.945,0.973,0.945,0.805,0.738,0.685,0.945,0.948,0.959,0.838,0.695,0.616,,,
5LL_01-100.set,0.756,0.744,0.644,0.922,0.922,0.689,0.778,0.756,0.678,0.467,0.767,0.567,0.811,0.644,0.733,,,
7IG_01-100.set,0.767,0.679,0.603,0.986,0.955,0.912,0.893,0.738,0.603,0.898,0.94,0.897,0.943,0.636,0.956,,,
10OS_01-100.set,0.583,0.667,0.636,0.779,0.852,0.818,0.821,0.771,0.773,0.831,0.74,0.788,0.788,0.776,0.742,,,
11TP_01-100.set,0.916,0.779,0.761,0.732,0.957,0.746,0.93,0.957,0.93,0.679,0.943,0.732,0.816,0.914,0.789,,,Beta and Gamma best performing frequency bands
13MT_01-100.set,0.967,0.969,0.785,0.926,0.969,0.938,0.986,0.955,0.846,0.874,0.983,0.846,0.969,0.95,0.923,,,
14JR_01-100.set,0.816,0.891,0.944,0.861,0.988,0.792,0.721,0.886,0.75,0.916,0.959,0.819,0.914,0.93,0.847,,,
15DM_01-100.set,0.881,0.8,0.71,0.786,0.81,0.652,0.826,0.757,0.71,0.857,0.883,0.58,0.624,0.726,0.652,,,
16ET_01-100.set,0.802,0.879,0.711,1,1,1,0.777,0.743,0.816,0.988,0.986,0.987,0.775,0.632,0.724,,,
17RP_01-100.set,0.808,0.804,0.747,0.95,0.953,0.94,0.953,0.725,0.771,0.95,0.915,0.904,0.906,0.831,0.723,,,
18EB_01-100.set,0.736,0.863,0.828,0.869,0.967,0.943,0.711,0.886,0.738,0.95,0.983,0.902,0.779,0.722,0.77,,,
19HB_01-100.set,0.867,0.702,0.879,1,0.986,0.985,1,0.986,0.758,1,1,1,0.986,0.714,0.985,,,
20JC_01-100.set,0.761,0.707,0.602,0.696,0.967,0.568,0.657,0.728,0.705,0.682,0.872,0.636,0.707,0.731,0.716,,,
22NL_01-100.set,0.811,0.668,0.63,0.973,1,0.986,0.809,0.795,0.753,0.971,1,0.986,0.889,0.771,0.836,,,
25DE_01-100.set,0.677,0.648,0.654,0.759,0.873,0.795,0.907,0.743,0.667,0.836,0.886,0.628,0.809,0.748,0.744,,,
27KA_01-100.set,0.708,0.661,0.652,0.729,0.765,0.742,0.514,0.744,0.629,0.653,0.844,0.618,0.629,0.544,0.427,,,
28KC_01-100.set,0.642,0.604,0.535,0.756,0.929,0.721,0.647,0.714,0.535,0.951,0.978,0.919,0.7,0.618,0.663,,,
30CK_01-100.set,0.986,0.867,1,0.986,0.983,0.971,0.795,0.764,0.809,0.969,0.971,0.956,0.955,0.793,0.809,,,
31JV_01-100.set,0.697,0.717,0.539,0.715,0.784,0.637,0.785,0.678,0.559,0.599,0.657,0.578,0.717,0.728,0.618,,,
32AC_01-100.set,0.633,0.601,0.573,0.543,0.854,0.521,0.66,0.674,0.417,0.591,0.826,0.667,0.522,0.654,0.521,,,
33IG_01-100.set,0.6,0.629,0.6,0.9,0.914,0.757,0.771,0.786,0.657,0.9,0.971,0.9,0.643,0.671,0.571,,,
34GL_01-100.set,0.729,0.77,0.743,0.877,0.945,0.838,0.716,0.62,0.608,0.93,0.836,0.892,0.634,0.473,0.622,,,
35JH_01-100.set,0.661,0.686,0.652,0.776,0.867,0.775,0.628,0.787,0.64,0.706,0.821,0.787,0.631,0.606,0.663,,,
36MS_01-100.set,0.645,0.693,0.604,0.87,0.901,0.812,0.773,0.733,0.673,0.774,0.87,0.792,0.526,0.674,0.505,,,
37DG_01-100.set,0.633,0.677,0.604,0.66,0.738,0.635,0.731,0.666,0.479,0.656,0.738,0.667,0.686,0.762,0.562,,,
38JC_01-100.set,0.693,0.662,0.603,0.836,0.776,0.809,0.69,0.798,0.632,0.781,0.74,0.676,0.755,0.781,0.691,,,
39MF_01-100.set,0.93,0.739,0.767,0.902,0.934,0.904,0.973,0.816,0.904,0.936,0.961,0.918,0.902,0.836,0.877,,,
40SL_01-100.set,0.618,0.668,0.556,0.84,0.975,0.84,0.838,0.806,0.704,0.9,0.901,0.84,0.926,0.779,0.84,,,
41IA_01-100.set,0.666,0.754,0.61,0.946,0.884,0.727,0.727,0.689,0.584,0.896,0.83,0.766,0.521,0.662,0.545,,,
Average,0.756433333,0.731466667,0.694333333,0.850666667,0.913633333,0.813266667,0.794066667,0.7744,0.693666667,0.8362,0.891633333,0.8069,0.7767,0.725266667,0.722333333,,,
Standard Deviation,0.120086372,0.098057595,0.128960923,0.117224316,0.076692617,0.133900358,0.121431386,0.086803623,0.116708991,0.143486969,0.094434974,0.141115836,0.144393177,0.106811123,0.146535234,,,
