Alpha, 1.0, 0.85, 1.0
Alpha, 0.704, 0.566, 0.658
Alpha, 0.756, 0.744, 0.644
Alpha, 0.767, 0.679, 0.603
Alpha, 0.583, 0.667, 0.636
Alpha, 0.916, 0.779, 0.761
Alpha, 0.967, 0.969, 0.785
Alpha, 0.816, 0.891, 0.944
Alpha, 0.881, 0.8, 0.71
Alpha, 0.802, 0.879, 0.711
Alpha, 0.808, 0.804, 0.747
Alpha, 0.736, 0.863, 0.828
Alpha, 0.867, 0.702, 0.879
Alpha, 0.761, 0.707, 0.602
Alpha, 0.811, 0.668, 0.63
Alpha, 0.677, 0.648, 0.654
Alpha, 0.708, 0.661, 0.652
Alpha, 0.642, 0.604, 0.535
Alpha, 0.986, 0.867, 1.0
Alpha, 0.697, 0.717, 0.539
Alpha, 0.633, 0.601, 0.573
Alpha, 0.6, 0.629, 0.6
Alpha, 0.729, 0.77, 0.743
Alpha, 0.661, 0.686, 0.652
Alpha, 0.645, 0.693, 0.604
Alpha, 0.633, 0.677, 0.604
Alpha, 0.693, 0.662, 0.603
Alpha, 0.93, 0.739, 0.767
Alpha, 0.618, 0.668, 0.556
Alpha, 0.666, 0.754, 0.61
Beta, 1.0, 0.988, 1.0
Beta, 0.945, 0.973, 0.945
Beta, 0.922, 0.922, 0.689
Beta, 0.986, 0.955, 0.912
Beta, 0.779, 0.852, 0.818
Beta, 0.732, 0.957, 0.746
Beta, 0.926, 0.969, 0.938
Beta, 0.861, 0.988, 0.792
Beta, 0.786, 0.81, 0.652
Beta, 1.0, 1.0, 1.0
Beta, 0.95, 0.953, 0.94
Beta, 0.869, 0.967, 0.943
Beta, 1.0, 0.986, 0.985
Beta, 0.696, 0.967, 0.568
Beta, 0.973, 1.0, 0.986
Beta, 0.759, 0.873, 0.795
Beta, 0.729, 0.765, 0.742
Beta, 0.756, 0.929, 0.721
Beta, 0.986, 0.983, 0.971
Beta, 0.715, 0.784, 0.637
Beta, 0.543, 0.854, 0.521
Beta, 0.9, 0.914, 0.757
Beta, 0.877, 0.945, 0.838
Beta, 0.776, 0.867, 0.775
Beta, 0.87, 0.901, 0.812
Beta, 0.66, 0.738, 0.635
Beta, 0.836, 0.776, 0.809
Beta, 0.902, 0.934, 0.904
Beta, 0.84, 0.975, 0.84
Beta, 0.946, 0.884, 0.727
Delta, 1.0, 0.793, 0.797
Delta, 0.805, 0.738, 0.685
Delta, 0.778, 0.756, 0.678
Delta, 0.893, 0.738, 0.603
Delta, 0.821, 0.771, 0.773
Delta, 0.93, 0.957, 0.93
Delta, 0.986, 0.955, 0.846
Delta, 0.721, 0.886, 0.75
Delta, 0.826, 0.757, 0.71
Delta, 0.777, 0.743, 0.816
Delta, 0.953, 0.725, 0.771
Delta, 0.711, 0.886, 0.738
Delta, 1.0, 0.986, 0.758
Delta, 0.657, 0.728, 0.705
Delta, 0.809, 0.795, 0.753
Delta, 0.907, 0.743, 0.667
Delta, 0.514, 0.744, 0.629
Delta, 0.647, 0.714, 0.535
Delta, 0.795, 0.764, 0.809
Delta, 0.785, 0.678, 0.559
Delta, 0.66, 0.674, 0.417
Delta, 0.771, 0.786, 0.657
Delta, 0.716, 0.62, 0.608
Delta, 0.628, 0.787, 0.64
Delta, 0.773, 0.733, 0.673
Delta, 0.731, 0.666, 0.479
Delta, 0.69, 0.798, 0.632
Delta, 0.973, 0.816, 0.904
